epochs,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
1,692798,,,,,,
5,9597,,,,,,
1,692798,,,,,,
1,692798,,,,,,
5,9597,,,,,,
10,,96.6,0.8,99.0,3.4,,
200,,,,,,0.9537,0.03233333333333333
