epochs,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
1,1997,,,,,,
25,,96.4,0.8,100.0,6.0,,
5,,,,,,0.7388,0.0
