epochs,Clean training ACC,Poisoned training ACC,Poisoned training ASR,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
5,0.8907,,,,,,,,,
5,,0.8945,0.992,,,,,,,
10,,,,2831,,,,,,
25,,,,,97.28,1.04,99.32,4.24,,
5,,,,,,,,,0.8901,0.066
