epochs,Clean training ACC,Poisoned training ACC,Poisoned training ASR,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
1,,,,4289,,,,,,
10,,,,,98.6,0.62,99.8,16.0,,
200,,,,,,,,,0.925,0.003
