epochs,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
1,6485,,,,,,
10,,100.0,0.0,100.0,0.3,,
200,,,,,,0.953,0.778
